protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,120.70,0.00,0.26,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,26.03,0.00,0.83,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,19.77,0.00,0.36,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,21.04,0.00,0.40,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,21.29,0.00,1.06,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,22.48,0.00,0.37,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,24.04,0.00,1.09,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,22.38,0.00,0.37,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,100.16,0.00,0.38,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,21.86,0.00,0.51,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,21.65,0.00,0.29,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,18.04,0.00,0.35,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,19.89,0.00,0.47,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,23.00,0.00,0.38,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,216.64,0.00,0.40,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,20.63,0.00,0.35,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,220.99,0.00,0.57,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,206.27,0.00,0.28,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,215.70,0.00,0.60,4595,15270
TLSv1.3,TLS_AES_128_GCM_SHA256,215.06,0.00,0.28,4595,15270
