protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,208.29,0.00,0.12,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,417.67,0.00,0.25,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,206.27,0.00,0.14,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,11.35,0.00,0.12,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,216.75,0.00,0.12,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,349.07,0.00,0.63,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,12.26,0.00,0.17,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,154.67,0.00,0.17,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,11.38,0.00,0.12,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,14.94,0.00,0.23,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,12.52,0.00,0.10,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,10.22,0.00,0.12,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,209.25,0.00,0.22,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,12.49,0.00,0.11,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,13.27,0.00,0.17,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,11.85,0.00,0.13,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,18.43,0.00,0.56,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,27.35,0.00,0.15,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,209.34,0.00,0.17,2420,8360
TLSv1.3,TLS_AES_128_GCM_SHA256,204.87,0.00,0.19,2420,8360
