protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,15.47,2.54,0.00,103,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,14.13,2.61,0.00,104,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,14.38,2.52,0.00,104,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,14.99,2.34,0.00,103,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,15.11,2.55,0.00,103,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,13.63,2.51,0.00,104,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,13.91,2.60,0.00,102,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,18.68,2.55,0.00,102,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,14.17,2.49,0.00,104,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,13.71,2.35,0.00,103,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,15.87,2.63,0.00,103,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,18.93,3.75,0.00,104,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,16.75,2.82,0.00,104,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,14.89,2.38,0.00,103,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,15.56,2.46,0.00,102,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,16.43,2.55,0.00,103,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,22.40,3.80,0.00,103,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,17.62,2.72,0.00,102,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,19.30,2.60,0.00,103,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,14.93,2.49,0.00,102,1386
