protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,8.10,0.09,0.00,71,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,410.05,0.23,0.00,71,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,126.42,0.14,0.00,72,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,8.65,0.45,0.00,72,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,205.50,0.20,0.00,72,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,7.97,0.23,0.00,70,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,100.59,0.20,0.00,72,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,409.85,0.05,0.00,70,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,7.57,0.16,0.00,71,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,10.10,0.07,0.00,70,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,92.39,0.23,0.00,71,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,210.84,0.24,0.00,71,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,39.04,0.12,0.00,70,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,32.76,0.12,0.00,71,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,19.98,0.15,0.00,71,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,226.61,0.20,0.00,71,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,108.80,0.11,0.00,71,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,21.94,0.20,0.00,70,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,121.83,0.26,0.00,71,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,96.32,0.15,0.00,72,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,72.44,0.25,0.00,71,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,302.30,0.18,0.00,71,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,105.87,0.23,0.00,70,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,154.96,0.21,0.00,72,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,23.71,0.25,0.00,71,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,107.14,0.24,0.00,70,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,298.52,0.12,0.00,72,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,19.35,0.18,0.00,72,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,35.43,0.15,0.00,71,1287
TLSv1.3,TLS_AES_128_GCM_SHA256,260.11,0.20,0.00,72,1287
