protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,38.04,0.00,0.23,72,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,131.45,0.00,0.23,72,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,40.41,0.00,0.23,70,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,40.14,0.00,0.33,72,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,54.13,0.00,0.26,70,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,85.84,0.00,0.23,71,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,47.65,0.00,0.22,70,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,69.45,0.00,0.20,71,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,55.50,0.00,0.23,71,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,40.98,0.00,0.30,71,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,43.03,0.00,0.23,70,1274
