protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,38.06,0.06,0.00,72,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,129.02,0.06,0.00,72,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,40.88,0.06,0.00,70,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,39.77,0.10,0.00,72,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,54.20,0.05,0.00,70,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,85.45,0.06,0.00,71,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,47.48,0.05,0.00,70,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,68.86,0.05,0.00,71,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,55.01,0.06,0.00,71,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,41.01,0.06,0.00,71,1274
TLSv1.3,TLS_AES_128_GCM_SHA256,42.38,0.06,0.00,70,1274
