protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,1.76,0.50,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,2.15,0.37,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.79,0.15,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,2.24,0.42,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.92,0.52,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.80,0.14,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.56,0.16,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.65,0.25,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.75,0.28,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,2.30,0.24,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.61,0.13,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.64,0.33,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,2.10,0.31,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.86,0.22,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.75,0.12,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.66,0.15,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,2.27,0.32,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,2.45,0.13,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.77,0.15,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.82,0.21,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.98,0.13,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.77,0.25,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.79,0.24,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.92,0.27,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,2.41,0.52,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,2.08,0.34,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,2.01,0.20,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.97,0.20,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.74,0.13,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.78,0.18,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.74,0.48,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.98,0.42,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,1.80,0.21,0.00,2420,8336
TLSv1.3,TLS_AES_128_GCM_SHA256,2.53,0.18,0.00,2420,8336
