protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,68.59,0.18,0.00,4595,15258
TLSv1.3,TLS_AES_128_GCM_SHA256,88.33,0.17,0.00,4595,15258
TLSv1.3,TLS_AES_128_GCM_SHA256,84.04,0.17,0.00,4595,15258
TLSv1.3,TLS_AES_128_GCM_SHA256,83.75,0.14,0.00,4595,15258
TLSv1.3,TLS_AES_128_GCM_SHA256,115.03,0.12,0.00,4595,15258
TLSv1.3,TLS_AES_128_GCM_SHA256,111.36,0.19,0.00,4595,15258
TLSv1.3,TLS_AES_128_GCM_SHA256,92.60,0.21,0.00,4595,15258
TLSv1.3,TLS_AES_128_GCM_SHA256,88.62,0.18,0.00,4595,15258
TLSv1.3,TLS_AES_128_GCM_SHA256,79.23,0.30,0.00,4595,15258
TLSv1.3,TLS_AES_128_GCM_SHA256,97.23,0.12,0.00,4595,15258
