protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_256_GCM_SHA384,51.69,0.00,4.19,138,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,53.54,0.00,4.20,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,52.17,0.00,4.58,138,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,51.12,0.00,4.34,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,55.61,0.00,4.43,138,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,53.09,0.00,6.36,138,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,54.66,0.00,4.35,138,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,50.86,0.00,4.63,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,55.13,0.00,4.45,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,53.59,0.00,5.83,139,1533
