protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_256_GCM_SHA384,46.93,6.49,0.00,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,42.23,5.40,0.00,138,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,65.95,8.89,0.00,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,51.05,6.17,0.00,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,44.18,5.91,0.00,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,55.11,6.02,0.00,138,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,46.75,5.97,0.00,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,47.87,5.85,0.00,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,49.49,7.49,0.00,138,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,47.05,5.63,0.00,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,51.85,8.60,0.00,138,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,53.77,8.26,0.00,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,52.36,8.62,0.00,138,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,51.42,8.18,0.00,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,55.93,7.37,0.00,138,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,53.41,8.21,0.00,138,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,55.00,8.71,0.00,138,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,51.19,8.36,0.00,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,55.48,8.44,0.00,139,1533
TLSv1.3,TLS_AES_256_GCM_SHA384,53.87,8.57,0.00,139,1533
