protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,2.20,0.00,0.20,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.47,0.00,0.22,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.96,0.00,0.29,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.01,0.00,0.20,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.20,0.00,0.20,70,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.33,0.00,0.20,72,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.13,0.00,0.20,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.73,0.00,0.26,72,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,3.12,0.00,0.30,70,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.58,0.00,0.21,71,1263
