protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,4.60,0.15,0.00,71,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,4.47,0.15,0.00,71,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,4.62,0.12,0.00,70,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,4.39,0.12,0.00,70,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,4.13,0.24,0.00,72,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,3.83,0.11,0.00,71,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,4.75,0.27,0.00,71,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,3.56,0.07,0.00,71,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,4.38,0.13,0.00,72,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,4.08,0.06,0.00,70,1278
