protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,8.25,0.00,0.34,70,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,4.28,0.00,0.28,71,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,4.05,0.00,0.23,71,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,4.06,0.00,0.23,70,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,4.00,0.00,0.29,70,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,4.34,0.00,0.24,72,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,3.56,0.00,0.28,71,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,5.06,0.00,0.34,71,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,3.41,0.00,0.29,71,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,4.66,0.00,0.36,72,1278
TLSv1.3,TLS_AES_128_GCM_SHA256,4.20,0.00,0.26,70,1278
