protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_256_GCM_SHA384,116.87,0.00,6.84,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,71.12,0.00,6.50,137,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,428.90,0.00,7.45,137,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,64.80,0.00,4.40,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,58.59,0.00,5.37,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,59.62,0.00,5.86,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,48.88,0.00,4.23,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,233.09,0.00,7.11,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,47.04,0.00,5.63,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,235.41,0.00,7.02,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,235.19,0.00,6.92,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,49.43,0.00,6.37,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,231.21,0.00,6.57,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,142.15,0.00,6.82,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,48.92,0.00,6.07,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,232.57,0.00,6.94,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,45.14,0.00,4.56,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,232.01,0.00,7.02,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,50.05,0.00,5.36,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,233.46,0.00,7.32,138,1557
