protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_256_GCM_SHA384,86.86,1.27,0.00,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,68.01,1.47,0.00,137,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,289.32,1.25,0.00,137,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,64.39,2.60,0.00,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,58.93,2.60,0.00,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,154.68,2.73,0.00,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,48.70,2.73,0.00,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,132.74,1.65,0.00,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,48.00,2.03,0.00,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,135.89,1.21,0.00,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,137.16,1.25,0.00,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,50.55,1.77,0.00,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,131.13,1.20,0.00,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,142.47,1.55,0.00,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,48.59,2.63,0.00,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,131.97,2.45,0.00,138,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,45.42,1.66,0.00,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,132.50,1.36,0.00,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,51.22,1.94,0.00,139,1557
TLSv1.3,TLS_AES_256_GCM_SHA384,133.09,1.22,0.00,138,1557
