protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,79.81,0.00,0.28,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,88.92,0.00,0.32,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,80.33,0.00,0.20,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,82.83,0.00,0.22,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,76.06,0.00,0.20,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,77.33,0.00,0.26,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,91.31,0.00,0.18,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,69.05,0.00,0.19,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,90.42,0.00,0.28,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,85.69,0.00,0.21,3293,11374
