protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,2.52,0.25,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.40,1.15,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.75,0.32,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.68,1.56,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.07,0.24,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.05,0.24,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.89,0.57,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.95,0.19,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.88,0.35,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.44,1.37,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.19,0.28,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.09,0.50,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.12,0.33,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.90,0.35,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.99,0.73,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.94,0.43,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.90,0.22,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.21,0.18,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.10,0.72,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.31,0.88,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.08,0.24,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.90,0.44,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.96,0.54,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.85,0.19,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.31,0.31,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.25,0.67,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.32,0.56,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.98,0.32,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.20,0.45,0.00,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.30,0.40,0.00,3293,11362
