protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_256_GCM_SHA384,76.47,0.00,4.31,139,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,103.76,0.00,4.77,139,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,103.83,0.00,4.48,138,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,103.46,0.00,6.80,139,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,98.78,0.00,4.84,139,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,73.56,0.00,4.22,139,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,75.87,0.00,4.38,139,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,67.42,0.00,4.68,138,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,81.66,0.00,6.52,139,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,71.53,0.00,4.58,138,1544
