protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,2.81,0.00,0.24,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,3.00,0.00,0.29,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,3.05,0.00,0.36,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.24,0.00,0.25,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.64,0.00,0.21,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.61,0.00,0.23,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,1.99,0.00,0.22,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.32,0.00,0.25,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.53,0.00,0.22,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.52,0.00,0.27,4595,15246
