protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,5.45,0.31,0.00,2420,8354
TLSv1.3,TLS_AES_128_GCM_SHA256,3.83,0.18,0.00,2420,8354
TLSv1.3,TLS_AES_128_GCM_SHA256,4.91,0.51,0.00,2420,8354
TLSv1.3,TLS_AES_128_GCM_SHA256,3.68,0.37,0.00,2420,8354
TLSv1.3,TLS_AES_128_GCM_SHA256,4.10,0.32,0.00,2420,8354
TLSv1.3,TLS_AES_128_GCM_SHA256,3.70,0.15,0.00,2420,8354
TLSv1.3,TLS_AES_128_GCM_SHA256,3.82,0.21,0.00,2420,8354
TLSv1.3,TLS_AES_128_GCM_SHA256,4.31,0.32,0.00,2420,8354
TLSv1.3,TLS_AES_128_GCM_SHA256,4.08,0.29,0.00,2420,8354
TLSv1.3,TLS_AES_128_GCM_SHA256,4.77,0.12,0.00,2420,8354
