protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,237.80,1.07,0.00,104,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,61.70,0.90,0.00,102,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,61.14,0.88,0.00,102,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,46.10,1.16,0.00,103,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,58.08,0.91,0.00,103,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,48.77,1.17,0.00,104,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,62.07,0.90,0.00,104,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,49.54,1.23,0.00,102,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,47.01,0.90,0.00,103,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,49.38,0.88,0.00,102,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,67.26,0.89,0.00,103,1394
